,Unnamed: 0,formatted_address,input_string,latitude,longitude,number_of_results,postcode,status
168,187,"Wickersham Ln & Cromwell Cir, Austin, TX 78741, USA",Wickersham Ln And Cromwell Cir in Austin (TX),30.2305577,-97.72109840000002,1,78741,OK
169,188,"6301 Harold Ct, Austin, TX 78721, USA",6301 Harold Ct. in Austin (TX),30.26637899999999,-97.673516,1,78721,OK
170,189,"1900 Onion Creek Pkwy, Austin, TX 78748, USA",1900 Onion Creek Parkway in Austin (TX),30.1386527,-97.8000597,1,78748,OK
171,190,"7201 Levander Loop, Austin, TX 78702, USA",7201 Levander Loop in Austin (TX),30.2527847,-97.6904186,1,78702,OK
172,191,"15002 Swiss Dr, Del Valle, TX 78617, USA",15002 Swiss Dr in Travis (TX),30.131602899999997,-97.6177754,1,78617,OK
173,192,"Springdale Rd & Airport Blvd, Austin, TX 78702, USA",Springdale Rd And Airport Blvd in Austin (TX),30.265573600000003,-97.69551640000002,1,78702,OK
174,193,"Johnny Morris Rd, Texas 78724, USA",Johnny Morris Rd & Breezy Hill Dr in Austin (TX),30.308202500000004,-97.6430282,2,78724,OK
175,194,"13401 Metric Blvd, Austin, TX 78727, USA",13401 Metric Blvd in Austin (TX),30.422909499999996,-97.6794455,1,78727,OK
176,195,"E Rundberg Ln & S IH 35 Frontage Rd, Austin, TX 78753, USA",Rundberg And Ih 35 in Austin (TX),30.3584936,-97.688562,1,78753,OK
177,196,"15208 Chamberlain Ct, Austin, TX 78724, USA",15208 Chamberlain Ct in Austin (TX),30.252738399999995,-97.5770663,1,78724,OK
178,197,"Teri Rd & Copperbend Blvd, Austin, TX 78744, USA",Teri And Copperbend in Austin (TX),30.1955472,-97.74112290000001,1,78744,OK
179,198,"11105 2nd St, Jonestown, TX 78645, USA",11105 2Nd St in Jonestown (TX),30.497282000000002,-97.921501,1,78645,OK
180,199,"4708 Marblehead Dr, Austin, TX 78727, USA",4708 Marblehead in Austin (TX),30.4257771,-97.72586390000001,1,78727,OK
181,200,"1960 N Main St, Walnut Creek, CA 94596, USA",Walnut Ave & Graham St in Austin (TX),37.9060819,-122.0634591,1,94596,OK
182,201,"N Lamar Blvd & W Rundberg Ln, Austin, TX 78753, USA",N Lamar/Rundberg in Austin (TX),30.363062,-97.69702740000001,1,78753,OK
183,202,"11901 N Mopac Expy, Austin, TX 78759, USA",11901 North Mopac in Austin (TX),30.4068959,-97.7187151,1,78759,OK
184,203,"924 Shady Ln, Austin, TX 78702, USA",924 Shady Lane in Austin (TX),30.2590636,-97.69438709999999,1,78702,OK
185,204,"Parker Ln & E Riverside Dr, Austin, TX 78741, USA",Riverside And  Parker Ln in Austin (TX),30.2432146,-97.7292123,1,78741,OK
186,205,"Chestnut Ave & Rosewood Ave, Austin, TX 78702, USA",Rosewood Ave And Chestnut Ave in Austin (TX),30.270325399999997,-97.715138,1,78702,OK
187,206,"4900 Goldbridge Dr, Austin, TX 78745, USA",4900 Goldbridge Dr in Austin (TX),30.2014462,-97.82539720000001,1,78745,OK
188,207,"Mountain Quail Rd, Austin, TX 78758, USA",Mountain Quail Rd & Thornridge Rd in Austin (TX),30.3736283,-97.70788420000001,7,78758,OK
189,208,"5200 Knight Cir, Austin, TX 78723, USA",5200 Knight Cir in Austin (TX),30.306029499999998,-97.69901180000001,1,78723,OK
190,209,"2200 Caldwell Ln, Del Valle, TX 78617, USA",2200 Caldwell in Travis (TX),30.215394899999996,-97.5386328,1,78617,OK
191,210,"1601 E Slaughter Ln, Austin, TX 78747, USA",1601 E Slaughter Ln in Austin (TX),30.1487835,-97.7694089,1,78747,OK
192,211,"6808 Felipe Dr, Austin, TX 78747, USA",6808 Felipe Dr in Austin (TX),30.1546901,-97.73850870000001,1,78747,OK
193,212,"6900 Burleson Manor Rd, Manor, TX 78653, USA",6900 Block Of Burleson Manor Rd in Travis (TX),30.253251399999996,-97.5323295,1,78653,OK
194,213,"5301 E Stassney Ln, Austin, TX 78744, USA",5301 Stassney Ln in Austin (TX),30.192417,-97.7383177,1,78744,OK
